name,url,price,revenue,profit,description,source,category
Growing 13 Year-Old 100% Dropship Building Materials E-Commerce Business,https://quietlight.com/ecommerce-businesses-for-sale/,"$227,000","$556,707","$84,292",,QuietLight,Amazon FBA
Stellar Skincare Product Line | Millions Spent on Unique Formulas and Branding,https://quietlight.com/ecommerce-businesses-for-sale/,"$225,000","$361,107","$57,178",,QuietLight,Amazon FBA
Trademarked Sunglasses Brand with 100% YOY Profit Gains,https://quietlight.com/ecommerce-businesses-for-sale/,"$210,000","$313,160","$92,000",,QuietLight,Amazon FBA
Premium Pet Accessories Wholesale Brand | Celebrity Worn | 50% Net Margins | Amazon Untapped,https://quietlight.com/listings/17140416/,"$205,000","$160,956","$81,523",,QuietLight,Amazon FBA
"DTC Garden Fairies, Homes, Gnomes | 1,000+ 5-Star Reviews | < 1% Return Rate | 6k Monthly Organic",https://quietlight.com/ecommerce-businesses-for-sale/,"$200,000","$296,102","$107,172",,QuietLight,Amazon FBA
"20-Year-Old Knife Business | 22% Repeat Customer Rate | $90 Average Order Value | 2,100+ Reviews",https://quietlight.com/ecommerce-businesses-for-sale/,"$200,000","$824,853","$148,927",,QuietLight,Amazon FBA
4-Year-Old Shopify Men’s Accessory and Personal Gear Business,https://quietlight.com/ecommerce-businesses-for-sale/,"$195,000","$931,126","$123,806",,QuietLight,Amazon FBA
Handmade Jewelry Business on Shopify | 50% Repeat Customer Rate | Mother & Baby Niche,https://quietlight.com/ecommerce-businesses-for-sale/,"$160,000","$364,716","$69,359",,QuietLight,Amazon FBA
Cake-Baking Ecomm Business | Multiple Revenue Channels | B2B Expansion Opportunities,https://quietlight.com/ecommerce-businesses-for-sale/,"$160,000","$229,208","$64,008",,QuietLight,Amazon FBA
Print-On-Demand Footwear Ecommerce Business | High Margins | Multiple Growth Opportunities,https://quietlight.com/ecommerce-businesses-for-sale/,"$150,000","$166,489","$59,658",,QuietLight,Amazon FBA
9-Year-Old Premium Tea and Chai Brand | B2B Clients | Huge Demand | Manufacturing Constraints,https://quietlight.com/ecommerce-businesses-for-sale/,"$150,000","$180,447",,,QuietLight,Amazon FBA
6-Year-Old Non-FBA Women’s Jewelry Brand,https://quietlight.com/ecommerce-businesses-for-sale/,"$125,000","$407,101","$53,188",,QuietLight,Amazon FBA
6 Year-Old Subscription-Based Business With Low Workload and Strong Margins,https://quietlight.com/ecommerce-businesses-for-sale/,"$125,000","$116,762","$38,933",,QuietLight,Amazon FBA
Luxury Japanese Kitchen Knives | Shopify Based | 144% Trailing 6 Month YOY SDE Growth,https://quietlight.com/ecommerce-businesses-for-sale/,"$125,000","$167,761","$42,416",,QuietLight,Amazon FBA
7-Year-Old Camper Van Accessories Brand | 76% Gross Margins |  $156 AOV | US-Made Products,https://quietlight.com/ecommerce-businesses-for-sale/,"$120,000","$157,246","$46,679",,QuietLight,Amazon FBA
6 Year Old Solar Energy Accessory Business on Amazon FBA and Shopify,https://quietlight.com/ecommerce-businesses-for-sale/,"$115,883","$165,847","$52,674",,QuietLight,Amazon FBA
6-Year-Old Anime Drop-Ship Business | $61K SDE | Low Workload,https://quietlight.com/ecommerce-businesses-for-sale/,"$115,500","$135,930","$61,128",,QuietLight,Amazon FBA
Shopify Custom Products Business | US Manufacturing | Shark Tank Featured,https://quietlight.com/ecommerce-businesses-for-sale/,"$90,000","$818,853","$35,492",,QuietLight,Amazon FBA
4-Yr-Old Diaper Bag eCommerce Brand | $38K SDE | 2.3x Multiple,https://quietlight.com/ecommerce-businesses-for-sale/,"$87,000","$220,885","$38,094",,QuietLight,Amazon FBA
Custom Furniture Ecommerce Business | Low Owner Workload | 1.97x Multiple | High Upside Potential,https://quietlight.com/ecommerce-businesses-for-sale/,"$50,000","$337,590","$25,436",,QuietLight,Amazon FBA
Distressed Supplement Brand | 87% Gross Margin | 25% Repeat Order Rate | Untapped Growth Potential,https://quietlight.com/ecommerce-businesses-for-sale/,"$50,000","$69,658","$28,463",,QuietLight,Amazon FBA
11 Year Old Shark Tank Shopify Travel Brand | 47% Repeat Customer Rate | High Margins,https://quietlight.com/ecommerce-businesses-for-sale/,"$45,000","$58,925","$17,712",,QuietLight,Amazon FBA
Quick Sale Opportunity | 4-Year-Old Unique Beverage Business,https://quietlight.com/ecommerce-businesses-for-sale/,"$37,000","$411,421","$16,956",,QuietLight,Amazon FBA
Patented Travel and Fitness Accessories Brand | Amazon FBA + 3rd Party Platforms | 1.2x Multiple,https://quietlight.com/ecommerce-businesses-for-sale/,"$30,000","$163,414","$27,329",,QuietLight,Amazon FBA
Patented Innovative Camouflage Products Ecommerce Business,https://websiteproperties.com/websites/13769-patented-innovative-camouflage-products-ecommerce-business/,,,,,WebsiteProperties,Amazon FBA
Thriving Amazon FBA Wellness & Performance Brand | 39% YoY Sales Growth | 56% NP Margin,https://websiteproperties.com/websites/13776-thriving-amazon-fba-wellness-performance-brand-39-yoy-sales-growth-56-np-margin/,,,,,WebsiteProperties,Amazon FBA
Amazon FBA Sports Accessories Business with High AOV,https://websiteproperties.com/websites/13779-amazon-fba-sports-accessories-business-with-high-aov/,,,,,WebsiteProperties,Amazon FBA
"FBA Popular Socks and Shoe Brands, Candy Sales, and Fulfillment Operations",https://websiteproperties.com/websites/13767-fba-popular-socks-and-shoe-brands-candy-sales-and-fulfillment-operations/,,,,,WebsiteProperties,Amazon FBA
Sticking With Success - Great Business Opportunity in the Growing Diabetes Market,https://websiteproperties.com/websites/13755-sticking-with-success-great-business-opportunity-in-the-growing-diabetes-market/,,,,,WebsiteProperties,Amazon FBA
Patented Amazon Brand Neck Pain Relief Product / FDA Approved,https://websiteproperties.com/websites/13763-patented-amazon-brand-neck-pain-relief-product-fda-approved/,,,,,WebsiteProperties,Amazon FBA
Royalty Rights for Trademarked and Patented Brand Neck Pain Relief Product,https://websiteproperties.com/amazon-fba-business-for-sale/,,,,,WebsiteProperties,Amazon FBA
Trademarked Brand Shooting Targets Amazon FBA Business,https://websiteproperties.com/amazon-fba-business-for-sale/,,,,,WebsiteProperties,Amazon FBA
Amazon FBA Storage Products Business with YoY Growth,https://websiteproperties.com/amazon-fba-business-for-sale/,,,,,WebsiteProperties,Amazon FBA
Amazon FBA Trademarked Brand Hair Product,https://websiteproperties.com/amazon-fba-business-for-sale/,,,,,WebsiteProperties,Amazon FBA
