"source","name","price","revenue","profit","multiple","description","url"
"QuietLight","5-Year-Old FBA Business in Collectibles Space | Huge Growth Opportunities | $1.02M TTM SDE","$3,888,888","$3,372,243","","1.15x","5-Year-Old FBA Business in Collectibles Space | Huge Growth Opportunities | $1.02M TTM SDE Asking Price $3,888,888 Revenue: $3,372,243 Income: $1,023,239 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/8/"
"QuietLight","5-Year-Old FBA Business in Collectibles Space | Huge Growth Opportunities | $1.02M TTM SDE","$3,888,888","$3,372,243","","1.15x","5-Year-Old FBA Business in Collectibles Space | Huge Growth Opportunities | $1.02M TTM SDE Asking Price $3,888,888 Revenue: $3,372,243 Income: $1,023,239 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/2/"
"QuietLight","5-Year-Old FBA Business in Collectibles Space | Huge Growth Opportunities | $1.02M TTM SDE","$3,888,888","$3,372,243","","1.15x","5-Year-Old FBA Business in Collectibles Space | Huge Growth Opportunities | $1.02M TTM SDE Asking Price $3,888,888 Revenue: $3,372,243 Income: $1,023,239 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/"
"QuietLight","5-Year-Old FBA Business in Collectibles Space | Huge Growth Opportunities | $1.02M TTM SDE","$3,888,888","$3,372,243","","1.15x","5-Year-Old FBA Business in Collectibles Space | Huge Growth Opportunities | $1.02M TTM SDE Asking Price $3,888,888 Revenue: $3,372,243 Income: $1,023,239 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/5/"
"QuietLight","5-Year-Old FBA Business in Collectibles Space | Huge Growth Opportunities | $1.02M TTM SDE","$3,888,888","$3,372,243","","1.15x","5-Year-Old FBA Business in Collectibles Space | Huge Growth Opportunities | $1.02M TTM SDE Asking Price $3,888,888 Revenue: $3,372,243 Income: $1,023,239 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/7/"
"QuietLight","5-Year-Old FBA Business in Collectibles Space | Huge Growth Opportunities | $1.02M TTM SDE","$3,888,888","$3,372,243","","1.15x","5-Year-Old FBA Business in Collectibles Space | Huge Growth Opportunities | $1.02M TTM SDE Asking Price $3,888,888 Revenue: $3,372,243 Income: $1,023,239 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/6/"
"QuietLight","5-Year-Old FBA Business in Collectibles Space | Huge Growth Opportunities | $1.02M TTM SDE","$3,888,888","$3,372,243","","1.15x","5-Year-Old FBA Business in Collectibles Space | Huge Growth Opportunities | $1.02M TTM SDE Asking Price $3,888,888 Revenue: $3,372,243 Income: $1,023,239 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/4/"
"QuietLight","5-Year-Old FBA Business in Collectibles Space | Huge Growth Opportunities | $1.02M TTM SDE","$3,888,888","$3,372,243","","1.15x","5-Year-Old FBA Business in Collectibles Space | Huge Growth Opportunities | $1.02M TTM SDE Asking Price $3,888,888 Revenue: $3,372,243 Income: $1,023,239 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/3/"
"QuietLight","5-Year-Old FBA Business in Collectibles Space | Huge Growth Opportunities | $1.02M TTM SDE","$3,888,888","$3,372,243","","1.15x","5-Year-Old FBA Business in Collectibles Space | Huge Growth Opportunities | $1.02M TTM SDE Asking Price $3,888,888 Revenue: $3,372,243 Income: $1,023,239 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/9/"
"QuietLight","5-Year-Old FBA Business in Collectibles Space | Huge Growth Opportunities | $1.02M TTM SDE","$3,888,888","$3,372,243","","1.15x","5-Year-Old FBA Business in Collectibles Space | Huge Growth Opportunities | $1.02M TTM SDE Asking Price $3,888,888 Revenue: $3,372,243 Income: $1,023,239 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/10/"
